date,price,joules_per_coin,kwh_per_coin,Mining costs with C = 0.03 USD/kWh; PUE = 1.0,Mining costs with C = 0.05 USD/kWh; PUE = 1.1,Mining costs with C = 0.07 USD/kWh; PUE = 1.2,Price-cost price with C = 0.03 USD/kWh; PUE = 1.0,Price-cost price with C = 0.05 USD/kWh; PUE = 1.1,Price-cost price with C = 0.07 USD/kWh; PUE = 1.2
2013-03-31,34.5,40435681.32714544,11.232133701984845,0.3369640110595453,0.6177673536091666,0.943499230966727,34.16303598894046,33.88223264639083,33.55650076903327
2013-02-28,20.499,14123389.469095716,3.9231637414154767,0.1176949122424643,0.21577400577785125,0.32954575427890004,20.381305087757536,20.283225994222146,20.1694542457211
2013-01-31,13.3041,4475790.295951601,1.2432750822087781,0.037298252466263344,0.0683801295214828,0.10443510690553738,13.266801747533737,13.235719870478517,13.199664893094463
2012-12-31,12.562,194036338.3465183,53.89898287403286,1.6169694862209858,2.9644440580718077,4.52751456141876,10.945030513779013,9.597555941928192,8.034485438581239
2012-11-30,10.57,155236809.2972292,43.121335915897,1.29364007747691,2.3716734753743354,3.6221922169353484,9.27635992252309,8.198326524625665,6.947807783064652
2012-10-31,12.4,72154581.49045469,20.04293930290408,0.6012881790871224,1.1023616616597247,1.683606901443943,11.798711820912878,11.297638338340276,10.716393098556058
2012-09-30,9.9654,149792193.61280298,41.60894267022305,1.2482682801066916,2.2884918468622684,3.4951511842987366,8.71713171989331,7.676908153137733,6.4702488157012645
2012-08-31,9.5503,79847075.69359033,22.179743248219534,0.665392297446586,1.2198858786520745,1.8630984328504407,8.884907702553415,8.330414121347925,7.687201567149559
2012-07-31,6.629,70470400.54528806,19.575111262580016,0.5872533378774004,1.076631119441901,1.6443093460567215,6.041746662122599,5.552368880558099,4.984690653943278
2012-06-30,5.2748,66792286.58024899,18.553412938958054,0.5566023881687416,1.0204377116426933,1.5584866868724767,4.7181976118312585,4.2543622883573065,3.7163133131275234
2012-05-31,5.0,82754054.58079611,22.987237383554476,0.6896171215066342,1.2642980560954964,1.9309279402185762,4.310382878493366,3.7357019439045036,3.0690720597814236
2012-04-30,4.827,58895113.15599267,16.359753654442407,0.4907926096332722,0.8997864509943325,1.3742193069731623,4.336207390366727,3.9272135490056677,3.4527806930268374
2012-03-31,4.9213,46806347.84931873,13.001763291477424,0.3900528987443227,0.7150969810312584,1.0921481164841038,4.531247101255677,4.206203018968742,3.8291518835158955
2012-02-29,6.0756,109584024.20252614,30.440006722923926,0.9132002016877178,1.6742003697608163,2.55696056472561,5.162399798312282,4.401399630239183,3.5186394352743897
2012-01-31,5.2677,54999024.77285009,15.277506881347247,0.45832520644041735,0.8402628784740986,1.2833105780331688,4.8093747935595825,4.427437121525901,3.9843894219668305
2011-12-31,3.06,30714496.19925852,8.531804499794033,0.25595413499382097,0.46924924748867186,0.7166715779826988,2.804045865006179,2.5907507525113282,2.343328422017301
2011-11-30,3.15,57563715.2962249,15.989920915618027,0.4796976274685408,0.8794456503589916,1.3431533569119145,2.670302372531459,2.2705543496410083,1.8068466430880854
2011-10-31,5.0324,69286490.33484587,19.246247315234964,0.5773874194570489,1.058543602337923,1.616684774479737,4.4550125805429515,3.973856397662077,3.415715225520263
2011-09-30,8.21,86380136.80978432,23.994482447162312,0.7198344734148694,1.3196965345939273,2.015536525561634,7.490165526585131,6.890303465406074,6.194463474438367
2011-08-31,13.0946,81109211.00022404,22.53033638895112,0.6759100916685336,1.2391685013923117,1.892548256671894,12.418689908331466,11.855431498607688,11.202051743328106
2011-07-31,15.397,87867136.33977437,24.407537872159548,0.7322261361647864,1.3424145829687755,2.050233181261402,14.664773863835213,14.054585417031225,13.346766818738597
2011-06-30,9.57,55892942.225227855,15.525817284785516,0.46577451854356544,0.8539199506632035,1.3041686519219833,9.104225481456435,8.716080049336798,8.265831348078017
2011-05-31,3.0331,16677115.01673597,4.632531949093325,0.13897595847279975,0.2547892572001329,0.3891326837238393,2.8941240415272005,2.7783107427998672,2.6439673162761608
2011-04-30,0.7741,5099442.542379775,1.4165118173277154,0.04249535451983146,0.07790814995302436,0.11898699265552809,0.7316046454801686,0.6961918500469757,0.655113007344472
2011-03-31,0.9202,4491227.005499715,1.247563057083254,0.03742689171249762,0.06861596813957899,0.10479529679499335,0.8827731082875024,0.8515840318604211,0.8154047032050067
2011-02-28,0.7,1980816.5750439,0.5502268264010833,0.0165068047920325,0.030262475452059588,0.046219053417691,0.6834931952079675,0.6697375245479403,0.653780946582309
