date,avg_efficiency,max_efficiency,open_price,count
2019-01-04,0.0032407,0.02,3847.083953482,0.0
2019-01-05,0.0032407,0.02,3876.743901004,0.0
2019-01-06,0.0032407,0.02,3868.739955187,0.0
2019-01-07,0.0032407,0.02,4082.095636372,0.0
2019-01-08,0.0032407,0.02,4040.426868752,0.0
2019-01-09,0.0032407,0.02,4031.220158622,0.0
2019-01-10,0.0032407,0.02,4032.372040573,0.0
2019-01-11,0.0032407,0.02,3671.210547179,0.0
2019-01-12,0.0032407,0.02,3690.429234323,0.0
2019-01-13,0.0032407,0.02,3668.577160208,0.0
2019-01-14,0.0032407,0.02,3555.550456106,0.0
2019-01-15,0.0032407,0.02,3704.359603919,0.0
2019-01-16,0.0032407,0.02,3636.621475732,0.0
2019-01-17,0.0032407,0.02,3654.061564255,0.0
2019-01-18,0.0032407,0.02,3682.436730965,0.0
2019-01-19,0.0032407,0.02,3652.353731181,0.0
