row_index,hardware_name,hardware_index,hardware_price_usd,date,Mhash/s/$,Mhash/J
505,BitFury StarterKit,-1,6500,2014-02-21,,
506,TerraMiner IV,40,,2014-02-24,160000,unknown
507,TerraMiner IV 3,-1,,2014-02-24,,
508,TerraMiner IV 2,-1,,2014-02-24,,
509,Nvidia GeForce GTX 275,223,,2014-02-25,54.375,0.232
510,Nvidia GeForce GTX 580,240,,2014-02-25,156.6,0.642
511,CoinTerra,-1,350.85,2014-02-27,,
512,CoinTerra,-1,438.562,2014-02-27,,
513,CoinTerra,-1,204.662,2014-02-27,,
514,Bitmine CoinCraft,-1,23455.75,2014-02-28,,
515,Fury's miner,-1,5.107,2014-03-01,,
516,TerraMiner IV,40,,2014-03-02,160000,unknown
517,2,-1,,2014-03-05,,
518,2,-1,,2014-03-05,,
519,1,-1,,2014-03-05,,
520,1,-1,,2014-03-05,,
521,1,-1,,2014-03-05,,
